Month,Day,Country/Region,Confirmed,Deaths,Recovered,Test_Num,Intubated_Count,Intensive_Care
3,0,Turkey,1,0,0,1252,0,0
3,1,Turkey,1,0,0,1252,0,0
3,2,Turkey,5,0,0,1252,0,0
3,3,Turkey,5,0,0,1252,0,0
3,4,Turkey,18,0,0,1252,0,0
3,5,Turkey,47,0,0,1252,0,0
3,6,Turkey,98,1,0,1252,0,0
3,7,Turkey,191,2,0,1252,0,0
3,8,Turkey,359,4,0,1981,0,0
3,9,Turkey,670,9,0,5637,0,0
3,10,Turkey,947,21,0,8590,0,0
3,11,Turkey,1236,30,0,10328,0,0
3,12,Turkey,1529,37,0,14000,0,0
3,13,Turkey,1872,44,0,17952,0,0
3,14,Turkey,2433,59,26,22987,0,0
3,15,Turkey,3629,75,26,30273,0,0
3,16,Turkey,5698,92,42,37806,0,344
3,17,Turkey,7402,108,70,45447,309,445
3,18,Turkey,9217,131,105,55429,394,568
3,19,Turkey,10827,168,162,66964,523,725
3,20,Turkey,13531,214,243,82386,622,847
4,21,Turkey,15679,277,333,96782,692,979
4,22,Turkey,18135,356,415,115539,783,1001
4,23,Turkey,20921,425,484,131699,867,1251
4,24,Turkey,23934,501,786,151363,909,1311
4,25,Turkey,27069,574,1042,171428,935,1381
4,26,Turkey,30217,649,1326,192828,966,1415
4,27,Turkey,34109,725,1582,212851,987,1474
4,28,Turkey,38226,812,1846,237751,995,1492
4,29,Turkey,42282,908,2142,266329,1017,1552
4,30,Turkey,47029,1006,2423,297163,1062,1667
4,31,Turkey,52167,1101,2965,330363,1021,1626
4,32,Turkey,56956,1198,3446,366083,978,1665
4,33,Turkey,61049,1296,3957,400539,1063,1786
4,34,Turkey,65111,1403,4799,433609,1087,1809
4,35,Turkey,69392,1518,5674,467699,1052,1820
4,36,Turkey,74193,1643,7089,508126,1040,1854
4,37,Turkey,78546,1769,8631,548396,1014,1845
4,38,Turkey,82329,1890,10453,588916,1054,1894
4,39,Turkey,86306,2017,11976,624260,1031,1922
4,40,Turkey,90980,2140,13430,663963,1033,1909
4,41,Turkey,95591,2259,14918,703392,1006,1865
4,42,Turkey,98674,2376,16477,740927,985,1814
4,43,Turkey,101790,2491,18491,781889,982,1816
4,44,Turkey,104912,2600,21737,830257,929,1790
